title,authors,journal,pmid,page,url
In-Vehicle Communication Cyber Security: Challenges and Solutions.,"Rathore RS, Hewage C, Kaiwartya O, Lloret J.","{'name': 'Sensors (Basel)', 'year': 2022, 'citation': 'Sensors (Basel). 2022 Sep 3;22(17):6679. doi: 10.3390/s22176679.'}",36081138,1,https://pubmed.ncbi.nlm.nih.gov/36081138/
Cyber-Security Threats and Side-Channel Attacks for Digital Agriculture.,"Alahmadi AN, Rehman SU, Alhazmi HS, Glynn DG, Shoaib H, Solé P.","{'name': 'Sensors (Basel)', 'year': 2022, 'citation': 'Sensors (Basel). 2022 May 5;22(9):3520. doi: 10.3390/s22093520.'}",35591211,1,https://pubmed.ncbi.nlm.nih.gov/35591211/
Defining Cyber Security and Cyber Security Risk within a Multidisciplinary Context using Expert Elicitation.,"Cains MG, Flora L, Taber D, King Z, Henshel DS.","{'name': 'Risk Anal', 'year': 2022, 'citation': 'Risk Anal. 2022 Aug;42(8):1643-1669. doi: 10.1111/risa.13687. Epub 2021 Feb 14.'}",33586204,1,https://pubmed.ncbi.nlm.nih.gov/33586204/
Influence of Human Factors on Cyber Security within Healthcare Organisations: A Systematic Review.,"Nifakos S, Chandramouli K, Nikolaou CK, Papachristou P, Koch S, Panaousis E, Bonacina S.","{'name': 'Sensors (Basel)', 'year': 2021, 'citation': 'Sensors (Basel). 2021 Jul 28;21(15):5119. doi: 10.3390/s21155119.'}",34372354,1,https://pubmed.ncbi.nlm.nih.gov/34372354/
Augmented Reality (AR) and Cyber-Security for Smart Cities-A Systematic Literature Review.,"Alzahrani NM, Alfouzan FA.","{'name': 'Sensors (Basel)', 'year': 2022, 'citation': 'Sensors (Basel). 2022 Apr 6;22(7):2792. doi: 10.3390/s22072792.'}",35408406,1,https://pubmed.ncbi.nlm.nih.gov/35408406/
Cyber security threats in the microbial genomics era: implications for public health.,"Fayans I, Motro Y, Rokach L, Oren Y, Moran-Gilad J.","{'name': 'Euro Surveill', 'year': 2020, 'citation': 'Euro Surveill. 2020 Feb;25(6):1900574. doi: 10.2807/1560-7917.ES.2020.25.6.1900574.'}",32070468,1,https://pubmed.ncbi.nlm.nih.gov/32070468/
A Cyber-Security Risk Assessment Methodology for Medical Imaging Devices: the Radiologists' Perspective.,"Mahler T, Shalom E, Makori A, Elovici Y, Shahar Y.","{'name': 'J Digit Imaging', 'year': 2022, 'citation': 'J Digit Imaging. 2022 Jun;35(3):666-677. doi: 10.1007/s10278-021-00562-y. Epub 2022 Feb 17.'}",35178644,1,https://pubmed.ncbi.nlm.nih.gov/35178644/
Current and potential cyber attacks on medical journals; guidelines for improving security.,"Dadkhah M, Seno SAH, Borchardt G.","{'name': 'Eur J Intern Med', 'year': 2017, 'citation': 'Eur J Intern Med. 2017 Mar;38:25-29. doi: 10.1016/j.ejim.2016.11.014. Epub 2016 Dec 3.'}",27919525,1,https://pubmed.ncbi.nlm.nih.gov/27919525/
"A Socio-Technical Regime Transitions Model for Gerontechnology Service Design: Privacy, Information Security and Cyber Security in Focus.","Kowalski SJ, Østby G.","{'name': 'Stud Health Technol Inform', 'year': 2022, 'citation': 'Stud Health Technol Inform. 2022 Nov 3;299:20-29. doi: 10.3233/SHTI220959.'}",36325843,1,https://pubmed.ncbi.nlm.nih.gov/36325843/
Security of implantable medical devices with wireless connections: The dangers of cyber-attacks.,"Pycroft L, Aziz TZ.","{'name': 'Expert Rev Med Devices', 'year': 2018, 'citation': 'Expert Rev Med Devices. 2018 Jun;15(6):403-406. doi: 10.1080/17434440.2018.1483235. Epub 2018 Jun 13.'}",29860880,1,https://pubmed.ncbi.nlm.nih.gov/29860880/
Hybrid Technique for Cyber-Physical Security in Cloud-Based Smart Industries.,"Garg D, Rani S, Herencsar N, Verma S, Wozniak M, Ijaz MF.","{'name': 'Sensors (Basel)', 'year': 2022, 'citation': 'Sensors (Basel). 2022 Jun 19;22(12):4630. doi: 10.3390/s22124630.'}",35746411,2,https://pubmed.ncbi.nlm.nih.gov/35746411/
Healthcare cyber attacks.,[No authors listed],"{'name': 'J Vasc Nurs', 'year': 2019, 'citation': 'J Vasc Nurs. 2019 Dec;37(4):225. doi: 10.1016/j.jvn.2019.12.001.'}",31847975,2,https://pubmed.ncbi.nlm.nih.gov/31847975/
Preschool Cyber Security Management System Based on Intelligent Agents.,Song J.,"{'name': 'Comput Intell Neurosci', 'year': 2022, 'citation': 'Comput Intell Neurosci. 2022 Oct 7;2022:1992429. doi: 10.1155/2022/1992429. eCollection 2022.'}",36248916,2,https://pubmed.ncbi.nlm.nih.gov/36248916/
Cyber-Security Issues in Healthcare Information Technology.,Langer SG.,"{'name': 'J Digit Imaging', 'year': 2017, 'citation': 'J Digit Imaging. 2017 Feb;30(1):117-125. doi: 10.1007/s10278-016-9913-x.'}",27730416,2,https://pubmed.ncbi.nlm.nih.gov/27730416/
Prevention of Cyber Security with the Internet of Things Using Particle Swarm Optimization.,"Alterazi HA, Kshirsagar PR, Manoharan H, Selvarajan S, Alhebaishi N, Srivastava G, Lin JC.","{'name': 'Sensors (Basel)', 'year': 2022, 'citation': 'Sensors (Basel). 2022 Aug 16;22(16):6117. doi: 10.3390/s22166117.'}",36015878,2,https://pubmed.ncbi.nlm.nih.gov/36015878/
Defending the Defender: Adversarial Learning Based Defending Strategy for Learning Based Security Methods in Cyber-Physical Systems (CPS).,"Sheikh ZA, Singh Y, Singh PK, Gonçalves PJS.","{'name': 'Sensors (Basel)', 'year': 2023, 'citation': 'Sensors (Basel). 2023 Jun 9;23(12):5459. doi: 10.3390/s23125459.'}",37420626,2,https://pubmed.ncbi.nlm.nih.gov/37420626/
Roman Urdu Hate Speech Detection Using Transformer-Based Model for Cyber Security Applications.,"Bilal M, Khan A, Jan S, Musa S, Ali S.","{'name': 'Sensors (Basel)', 'year': 2023, 'citation': 'Sensors (Basel). 2023 Apr 12;23(8):3909. doi: 10.3390/s23083909.'}",37112249,2,https://pubmed.ncbi.nlm.nih.gov/37112249/
Cyber resilience: a review of critical national infrastructure and cyber security protection measures applied in the UK and USA.,"Harrop W, Matteson A.","{'name': 'J Bus Contin Emer Plan', 'year': 2013, 'citation': 'J Bus Contin Emer Plan. 2013-2014 Winter;7(2):149-62.'}",24457326,2,https://pubmed.ncbi.nlm.nih.gov/24457326/
Ransomware and Cyber Security: the King That Did Not Wannacry.,Adams-Collman J.,"{'name': 'Prim Dent J', 'year': 2018, 'citation': 'Prim Dent J. 2018 Mar 1;7(1):44-47. doi: 10.1308/205016818822610307.'}",29609670,2,https://pubmed.ncbi.nlm.nih.gov/29609670/
Cybersecurity in healthcare: A systematic review of modern threats and trends.,"Kruse CS, Frederick B, Jacobson T, Monticone DK.","{'name': 'Technol Health Care', 'year': 2017, 'citation': 'Technol Health Care. 2017;25(1):1-10. doi: 10.3233/THC-161263.'}",27689562,2,https://pubmed.ncbi.nlm.nih.gov/27689562/
