title,authors,journal,pmid,page,url
Health information system.,"Souza VP, Santos OF, Wolosker N.","{'name': 'Einstein (Sao Paulo)', 'year': 2013, 'citation': 'Einstein (Sao Paulo). 2013 Dec;11(4):vii-viii. doi: 10.1590/s1679-45082013000400001.'}",24488403,1,https://pubmed.ncbi.nlm.nih.gov/24488403/
Nursing Information System.,"Liaskos J, Mantas J.","{'name': 'Stud Health Technol Inform', 'year': 2002, 'citation': 'Stud Health Technol Inform. 2002;65:258-65.'}",15460230,1,https://pubmed.ncbi.nlm.nih.gov/15460230/
Oncology Information System: A Qualitative Study of Users' Requirements.,"Yazdanian A, Ayatollahi H, Nahvijou A.","{'name': 'Asian Pac J Cancer Prev', 'year': 2019, 'citation': 'Asian Pac J Cancer Prev. 2019 Oct 1;20(10):3085-3091. doi: 10.31557/APJCP.2019.20.10.3085.'}",31653158,1,https://pubmed.ncbi.nlm.nih.gov/31653158/
Improving quality and use of routine health information system data in low- and middle-income countries: A scoping review.,"Lemma S, Janson A, Persson LÅ, Wickremasinghe D, Källestål C.","{'name': 'PLoS One', 'year': 2020, 'citation': 'PLoS One. 2020 Oct 8;15(10):e0239683. doi: 10.1371/journal.pone.0239683. eCollection 2020.'}",33031406,1,https://pubmed.ncbi.nlm.nih.gov/33031406/
The Process of Modeling Information System Architectures with IHE.,"Merzweiler A, Stäubert S, Strübing A, Tonmbiak A, Kaulke K, Drepper J, Bergh B, Winter A.","{'name': 'Stud Health Technol Inform', 'year': 2021, 'citation': 'Stud Health Technol Inform. 2021 May 24;278:163-170. doi: 10.3233/SHTI210065.'}",34042890,1,https://pubmed.ncbi.nlm.nih.gov/34042890/
Shortcomings and challenges of information system adoption.,"Vigoda MM, Rothman B, Green JA.","{'name': 'Anesthesiol Clin', 'year': 2011, 'citation': 'Anesthesiol Clin. 2011 Sep;29(3):397-412. doi: 10.1016/j.anclin.2011.05.010.'}",21871402,1,https://pubmed.ncbi.nlm.nih.gov/21871402/
Health Information Systems.,"Sirintrapun SJ, Artz DR.","{'name': 'Surg Pathol Clin', 'year': 2015, 'citation': 'Surg Pathol Clin. 2015 Jun;8(2):255-68. doi: 10.1016/j.path.2015.02.014. Epub 2015 Mar 26.'}",26065799,1,https://pubmed.ncbi.nlm.nih.gov/26065799/
"Transforming the health information system using mobile and geographic information technologies, Papua New Guinea.","Rosewell A, Shearman P, Ramamurthy S, Akers R.","{'name': 'Bull World Health Organ', 'year': 2021, 'citation': 'Bull World Health Organ. 2021 May 1;99(5):381-387A. doi: 10.2471/BLT.20.267823. Epub 2021 Mar 2.'}",33958826,1,https://pubmed.ncbi.nlm.nih.gov/33958826/
Moving Towards a Blockchain-Based Healthcare Information System.,"Balis C, Tagopoulos I, Dimola K.","{'name': 'Stud Health Technol Inform', 'year': 2019, 'citation': 'Stud Health Technol Inform. 2019 Jul 4;262:168-171. doi: 10.3233/SHTI190044.'}",31349293,1,https://pubmed.ncbi.nlm.nih.gov/31349293/
MEDINFO--a medical information system.,"Johnson DC, Barnett GO.","{'name': 'Comput Programs Biomed', 'year': 1977, 'citation': 'Comput Programs Biomed. 1977 Sep;7(3):191-201. doi: 10.1016/0010-468x(77)90027-7.'}",891158,1,https://pubmed.ncbi.nlm.nih.gov/891158/
Design and Implementation of Model-Driven Development for Nursing Information System.,"Wen PY, Chang SY.","{'name': 'Stud Health Technol Inform', 'year': 2022, 'citation': 'Stud Health Technol Inform. 2022 Jun 6;290:154-157. doi: 10.3233/SHTI220051.'}",35672990,2,https://pubmed.ncbi.nlm.nih.gov/35672990/
Mobile nursing information system utilization: the task-technology fit perspective.,Lin TC.,"{'name': 'Comput Inform Nurs', 'year': 2014, 'citation': 'Comput Inform Nurs. 2014 Mar;32(3):129-37. doi: 10.1097/CIN.0000000000000039.'}",24419090,2,https://pubmed.ncbi.nlm.nih.gov/24419090/
Pathway-Supporting Health Information Systems: A Review.,Scheplitz T.,"{'name': 'Stud Health Technol Inform', 'year': 2021, 'citation': 'Stud Health Technol Inform. 2021 May 7;279:87-94. doi: 10.3233/SHTI210093.'}",33965923,2,https://pubmed.ncbi.nlm.nih.gov/33965923/
A review on systematic reviews of health information system studies.,"Lau F, Kuziemsky C, Price M, Gardner J.","{'name': 'J Am Med Inform Assoc', 'year': 2010, 'citation': 'J Am Med Inform Assoc. 2010 Nov-Dec;17(6):637-45. doi: 10.1136/jamia.2010.004838.'}",20962125,2,https://pubmed.ncbi.nlm.nih.gov/20962125/
The holistic architectural approach to integrating the healthcare record in the overall information system.,"Ferrara FM, Sottile PA, Grimson W.","{'name': 'Stud Health Technol Inform', 'year': 1999, 'citation': 'Stud Health Technol Inform. 1999;68:847-52.'}",10725017,2,https://pubmed.ncbi.nlm.nih.gov/10725017/
An information system for the future?,Huth EJ.,"{'name': 'Ann Intern Med', 'year': 1980, 'citation': 'Ann Intern Med. 1980 Jul;93(1):139-40. doi: 10.7326/0003-4819-93-1-139.'}",7396292,2,https://pubmed.ncbi.nlm.nih.gov/7396292/
Legal Medicine Information System using CDISC ODM.,"Kiuchi T, Yoshida K, Kotani H, Tamaki K, Nagai H, Harada K, Ishikawa H.","{'name': 'Leg Med (Tokyo)', 'year': 2013, 'citation': 'Leg Med (Tokyo). 2013 Nov;15(6):332-4. doi: 10.1016/j.legalmed.2013.08.003. Epub 2013 Aug 31.'}",24060460,2,https://pubmed.ncbi.nlm.nih.gov/24060460/
[Quality of the Information System on Live Births /SINASC: a critical analysis of published studies].,Pedraza DF.,"{'name': 'Cien Saude Colet', 'year': 2012, 'citation': 'Cien Saude Colet. 2012 Oct;17(10):2729-37. doi: 10.1590/s1413-81232012001000021.'}",23099759,2,https://pubmed.ncbi.nlm.nih.gov/23099759/
Specific factors influencing information system/information and communication technology sourcing strategies in healthcare facilities.,"Potančok M, Voříšek J.","{'name': 'Health Informatics J', 'year': 2016, 'citation': 'Health Informatics J. 2016 Sep;22(3):536-47. doi: 10.1177/1460458215571644. Epub 2015 Mar 10.'}",25759064,2,https://pubmed.ncbi.nlm.nih.gov/25759064/
[Hospital information system].,Kaihara S.,"{'name': 'Iyodenshi To Seitai Kogaku', 'year': 1982, 'citation': 'Iyodenshi To Seitai Kogaku. 1982 Oct;20(6):378-84.'}",6763948,2,https://pubmed.ncbi.nlm.nih.gov/6763948/
Creating a real return-on-investment for information system implementation: life after HITECH.,"Lai M, Kheterpal S.","{'name': 'Anesthesiol Clin', 'year': 2011, 'citation': 'Anesthesiol Clin. 2011 Sep;29(3):413-38. doi: 10.1016/j.anclin.2011.05.005.'}",21871403,3,https://pubmed.ncbi.nlm.nih.gov/21871403/
The aging of a clinical information system.,"Rada R, Finley S.","{'name': 'J Biomed Inform', 'year': 2004, 'citation': 'J Biomed Inform. 2004 Oct;37(5):319-24. doi: 10.1016/j.jbi.2004.06.003.'}",15488746,3,https://pubmed.ncbi.nlm.nih.gov/15488746/
Development of Clinical Decision Support System for Patient Blood Management in Hospital Information System.,"Bae YS, Kim KH.","{'name': 'Stud Health Technol Inform', 'year': 2024, 'citation': 'Stud Health Technol Inform. 2024 Jan 25;310:1374-1375. doi: 10.3233/SHTI231201.'}",38270050,3,https://pubmed.ncbi.nlm.nih.gov/38270050/
Routine Health Information Systems in the European Context: A Systematic Review of Systematic Reviews.,"Saigí-Rubió F, Pereyra-Rodríguez JJ, Torrent-Sellens J, Eguia H, Azzopardi-Muscat N, Novillo-Ortiz D.","{'name': 'Int J Environ Res Public Health', 'year': 2021, 'citation': 'Int J Environ Res Public Health. 2021 Apr 27;18(9):4622. doi: 10.3390/ijerph18094622.'}",33925384,3,https://pubmed.ncbi.nlm.nih.gov/33925384/
Dynamic Optimization Modeling of Smart Tourism Information System Using VRGIS in Big Data Environment.,"Xu A, Zeng W.","{'name': 'Comput Intell Neurosci', 'year': 2022, 'citation': 'Comput Intell Neurosci. 2022 Oct 10;2022:7914674. doi: 10.1155/2022/7914674. eCollection 2022.'}",36262602,3,https://pubmed.ncbi.nlm.nih.gov/36262602/
