title,authors,journal,pmid,page,url
A guide to machine learning for biologists.,"Greener JG, Kandathil SM, Moffat L, Jones DT.","{'name': 'Nat Rev Mol Cell Biol', 'year': 2022, 'citation': 'Nat Rev Mol Cell Biol. 2022 Jan;23(1):40-55. doi: 10.1038/s41580-021-00407-0. Epub 2021 Sep 13.'}",34518686,1,https://pubmed.ncbi.nlm.nih.gov/34518686/
"Introduction to Machine Learning, Neural Networks, and Deep Learning.","Choi RY, Coyner AS, Kalpathy-Cramer J, Chiang MF, Campbell JP.","{'name': 'Transl Vis Sci Technol', 'year': 2020, 'citation': 'Transl Vis Sci Technol. 2020 Feb 27;9(2):14. doi: 10.1167/tvst.9.2.14.'}",32704420,1,https://pubmed.ncbi.nlm.nih.gov/32704420/
Machine Learning in Medicine.,Deo RC.,"{'name': 'Circulation', 'year': 2015, 'citation': 'Circulation. 2015 Nov 17;132(20):1920-30. doi: 10.1161/CIRCULATIONAHA.115.001593.'}",26572668,1,https://pubmed.ncbi.nlm.nih.gov/26572668/
eDoctor: machine learning and the future of medicine.,"Handelman GS, Kok HK, Chandra RV, Razavi AH, Lee MJ, Asadi H.","{'name': 'J Intern Med', 'year': 2018, 'citation': 'J Intern Med. 2018 Dec;284(6):603-619. doi: 10.1111/joim.12822. Epub 2018 Sep 3.'}",30102808,1,https://pubmed.ncbi.nlm.nih.gov/30102808/
Supervised Machine Learning: A Brief Primer.,"Jiang T, Gradus JL, Rosellini AJ.","{'name': 'Behav Ther', 'year': 2020, 'citation': 'Behav Ther. 2020 Sep;51(5):675-687. doi: 10.1016/j.beth.2020.05.002. Epub 2020 May 16.'}",32800297,1,https://pubmed.ncbi.nlm.nih.gov/32800297/
Machine learning for cardiology.,"Arfat Y, Mittone G, Esposito R, Cantalupo B, DE Ferrari GM, Aldinucci M.","{'name': 'Minerva Cardiol Angiol', 'year': 2022, 'citation': 'Minerva Cardiol Angiol. 2022 Feb;70(1):75-91. doi: 10.23736/S2724-5683.21.05709-4. Epub 2021 Aug 2.'}",34338485,1,https://pubmed.ncbi.nlm.nih.gov/34338485/
Machine learning model for predicting malaria using clinical information.,"Lee YW, Choi JW, Shin EH.","{'name': 'Comput Biol Med', 'year': 2021, 'citation': 'Comput Biol Med. 2021 Feb;129:104151. doi: 10.1016/j.compbiomed.2020.104151. Epub 2020 Nov 28.'}",33290932,1,https://pubmed.ncbi.nlm.nih.gov/33290932/
A Review on Machine Learning for EEG Signal Processing in Bioengineering.,"Hosseini MP, Hosseini A, Ahi K.","{'name': 'IEEE Rev Biomed Eng', 'year': 2021, 'citation': 'IEEE Rev Biomed Eng. 2021;14:204-218. doi: 10.1109/RBME.2020.2969915. Epub 2021 Jan 22.'}",32011262,1,https://pubmed.ncbi.nlm.nih.gov/32011262/
Review of machine learning and deep learning models for toxicity prediction.,"Guo W, Liu J, Dong F, Song M, Li Z, Khan MKH, Patterson TA, Hong H.","{'name': 'Exp Biol Med (Maywood)', 'year': 2023, 'citation': 'Exp Biol Med (Maywood). 2023 Nov;248(21):1952-1973. doi: 10.1177/15353702231209421. Epub 2023 Dec 6.'}",38057999,1,https://pubmed.ncbi.nlm.nih.gov/38057999/
Machine learning for clinical decision support in infectious diseases: a narrative review of current applications.,"Peiffer-Smadja N, Rawson TM, Ahmad R, Buchard A, Georgiou P, Lescure FX, Birgand G, Holmes AH.","{'name': 'Clin Microbiol Infect', 'year': 2020, 'citation': 'Clin Microbiol Infect. 2020 May;26(5):584-595. doi: 10.1016/j.cmi.2019.09.009. Epub 2019 Sep 17.'}",31539636,1,https://pubmed.ncbi.nlm.nih.gov/31539636/
Machine Learning Principles for Radiology Investigators.,Borstelmann SM.,"{'name': 'Acad Radiol', 'year': 2020, 'citation': 'Acad Radiol. 2020 Jan;27(1):13-25. doi: 10.1016/j.acra.2019.07.030.'}",31818379,2,https://pubmed.ncbi.nlm.nih.gov/31818379/
"The use of artificial intelligence, machine learning and deep learning in oncologic histopathology.","Sultan AS, Elgharib MA, Tavares T, Jessri M, Basile JR.","{'name': 'J Oral Pathol Med', 'year': 2020, 'citation': 'J Oral Pathol Med. 2020 Oct;49(9):849-856. doi: 10.1111/jop.13042. Epub 2020 Jun 15.'}",32449232,2,https://pubmed.ncbi.nlm.nih.gov/32449232/
"Machine Learning, Deep Learning, and Closed Loop Devices-Anesthesia Delivery.","Wingert T, Lee C, Cannesson M.","{'name': 'Anesthesiol Clin', 'year': 2021, 'citation': 'Anesthesiol Clin. 2021 Sep;39(3):565-581. doi: 10.1016/j.anclin.2021.03.012. Epub 2021 Jul 12.'}",34392886,2,https://pubmed.ncbi.nlm.nih.gov/34392886/
Advancing Biosensors with Machine Learning.,"Cui F, Yue Y, Zhang Y, Zhang Z, Zhou HS.","{'name': 'ACS Sens', 'year': 2020, 'citation': 'ACS Sens. 2020 Nov 25;5(11):3346-3364. doi: 10.1021/acssensors.0c01424. Epub 2020 Nov 13.'}",33185417,2,https://pubmed.ncbi.nlm.nih.gov/33185417/
Machine learning in suicide science: Applications and ethics.,"Linthicum KP, Schafer KM, Ribeiro JD.","{'name': 'Behav Sci Law', 'year': 2019, 'citation': 'Behav Sci Law. 2019 May;37(3):214-222. doi: 10.1002/bsl.2392. Epub 2019 Jan 4.'}",30609102,2,https://pubmed.ncbi.nlm.nih.gov/30609102/
